行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
亳州市本级,安徽惠康食品有限公司,古井大道以东，曹腾路以西，槐花路以南，合欢路以北,工业用地,食品制造业,1.666660,挂牌出让,50,280.0000,下限:1.20上限:0.00,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6378117a-b368-4f78-9d8e-3fbd4177aa39,2019-08-27 22:27:14
亳州市本级,安徽容加药业有限公司,谯城经济开发区，规划路南侧，桐花路北侧，望州路西侧,工业用地,医药制造业,4.000000,挂牌出让,50,672.0000,下限:1.20上限:,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4445e16e-4793-43c4-9293-5af2345b5f8b,2019-08-27 22:27:16
亳州市本级,安徽盈盛生物科技有限公司,崇文路以东，昭武路以西，银杏路以南，百合路以北,工业用地,医药制造业,2.006060,挂牌出让,50,338.0000,下限:1.20上限:0.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6cfbcaff-7064-44bb-b6c2-df47a671080f,2019-08-27 22:27:17
亳州市本级,安徽三源药业有限公司,百合路以北，银杏路以南，崇文路以东，昭武路以西,工业用地,医药制造业,2.333330,挂牌出让,50,393.0000,下限:1.20上限:0.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f2c205a0-f3ac-4c6d-8290-755ced8d49e9,2019-08-27 22:27:19
亳州市本级,亳州市顺祥实业有限公司,望州路以东，宋汤河以西，槐花路以南，合欢路以北,工业用地,医药制造业,2.333330,挂牌出让,50,392.0000,下限:1.20上限:0.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1b23bf61-332b-4b6a-89ce-5afdb1debe09,2019-08-27 22:27:22
亳州市本级,亳州市顺祥实业有限公司,古井大道以东，曹霸路以西，槐花路以南，合欢路以北,工业用地,医药制造业,3.333330,挂牌出让,50,560.0000,下限:1.20上限:0.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a07de142-a3c1-4287-98da-5a7d1d3d7645,2019-08-27 22:27:24
亳州市本级,亳州市贡药饮片厂,谯城经济开发区，艾叶路南侧，芍花路北侧，药王大道西侧,工业用地,医药制造业,0.567700,挂牌出让,50,96.0000,下限:1.20上限:0.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f39f1544-cbd3-4006-8e9f-bbc9ed6e46bf,2019-08-27 22:27:26
亳州市本级,亳州市正谷药业有限公司,百合路以南，酒城大道以北，崇文路以东，昭武路以西,工业用地,医药制造业,2.133330,挂牌出让,50,359.0000,下限:1.20上限:0.00,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1dc7e6a8-6576-4a11-97cf-3ea8ad1f2625,2019-08-27 22:27:29
亳州市本级,亳州康和中药材科技有限公司,谯城经济开发区，紫苑路南侧，百岁堂北侧，望州路东。,工业用地,医药制造业,2.568950,挂牌出让,50,432.0000,下限:1.20上限:0.00,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=46a737aa-5376-4b13-812e-3bcf0b603994,2019-08-27 22:27:31
亳州市本级,安徽昊森药业有限公司,建安路以东，沿铁西路以西，合欢路以南，茴香路以北,工业用地,医药制造业,14.686030,挂牌出让,50,2468.0000,下限:1.20上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=62d35881-9985-423f-881a-71591b78a7d4,2019-08-27 22:27:33
亳州市本级,亳州市君尧药业有限公司,槐花路南、合欢路北、望州路东、宋汤河以西,工业用地,医药制造业,1.000000,挂牌出让,50,168.0000,下限:1.20上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=efd311a1-886a-409e-9b52-5788a253c789,2019-08-27 22:27:35
亳州市本级,安徽省米思蛋糕有限责任公司,菁华路东侧，茴香路南侧,工业用地,食品制造业,3.333330,挂牌出让,50,560.0000,下限:1.20上限:0.00,2017年12月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b81d7e22-bc0e-496d-8484-a67fcc82ea9d,2019-08-27 22:27:36
亳州市本级,安徽济人药业有限公司,仙茅路南侧、科技路西侧、药都大道北侧,工业用地,医药制造业,9.049150,挂牌出让,50,1521.0000,下限:1.20上限:0.00,2017年11月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=228c7ee9-9f6d-40cd-8837-ad8f5a6008a1,2019-08-27 22:27:38
亳州市本级,安徽济人药业有限公司,仙茅路南侧、科技路东侧、药都大道北侧,工业用地,医药制造业,6.076280,挂牌出让,50,1021.0000,下限:1.20上限:0.00,2017年11月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=34abf4c6-3901-44af-b33a-a97a58669c96,2019-08-27 22:27:40
亳州市本级,安徽博耀堂中药科技有限公司,迎春路以南，海棠路以北，崇文路以西，文苑路以东,工业用地,医药制造业,2.008430,挂牌出让,50,338.0000,下限:1.20上限:0.00,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7710cc44-3663-4c14-926c-9bb8b590efbb,2019-08-27 22:27:43
亳州市本级,中青健康（亳州）建设发展有限公司,庄周路西侧、张良路东侧、养生大道北侧,工业用地,医药制造业,20.135350,挂牌出让,50,3383.0000,下限:1.20上限:0.00,2017年11月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c81adf04-209e-4aef-a268-c9ad2f397ea6,2019-08-27 22:27:45
亳州市本级,安徽永乐药业有限公司,银杏路以北，海棠路以南，文辉路以东，文苑路以西,工业用地,医药制造业,1.603060,挂牌出让,50,270.0000,下限:1.20上限:0.00,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=613b3bbb-5bbe-4109-b32d-28a476808bcd,2019-08-27 22:27:47
亳州市本级,安徽三义堂生物科技有限公司,月季路南侧，希夷大道西侧,工业用地,医药制造业,3.335965,挂牌出让,50,561.0000,下限:1.20上限:0.00,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bcaa5f45-5139-46bf-b24a-3282fb064819,2019-08-27 22:27:48
亳州市本级,亳州中药材商品交易中心有限公司,银杏路南，建安路以东,仓储用地,仓储业,8.669550,挂牌出让,50,1500.0000,下限:0.00上限:1.20,2017年11月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bd7a9d09-910f-47e9-a3b0-b4598ffc69c6,2019-08-27 22:27:50
亳州市本级,亳州建瓴置业有限公司,泽兰路南侧，希夷大道东侧，嵇康路西侧,其他普通商品住房用地,房地产业,3.810030,拍卖出让,其他商服用地40年;其他普通商品住房用地70年;,24500.0000,下限:1.00上限:2.00,2017年11月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=62dc349a-766d-4c5e-bf68-b742fe9f2bce,2019-08-27 22:27:52
亳州市本级,亳州建投三巽置业有限公司,牡丹路以南，仙翁路西侧,其他普通商品住房用地,房地产业,5.919320,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,38500.0000,下限:1.00上限:2.00,2017年11月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=828ba64f-2aee-4686-a507-3e3ad09ad287,2019-08-27 22:27:53
亳州市本级,亳州碧盛房地产开发有限公司,杜仲路以南，紫苑路以北，魏武大道以东，建安路以西,其他普通商品住房用地,房地产业,20.121580,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,129000.0000,下限:1.00上限:2.00,2017年11月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a624a7a2-2da3-4f01-825c-9275e1b55b2b,2019-08-27 22:27:55
亳州市本级,安徽京善堂国药有限公司,曹霸路以东，老君大道以西，海棠路以北，迎春路以南,工业用地,医药制造业,2.530860,挂牌出让,50,431.0000,下限:1.20上限:0.00,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=57557445-b559-4b17-a668-c56a6b577d38,2019-08-27 22:27:56
亳州市本级,长白山制药（亳州）产业园有限公司,亳菊路南侧、张良路西侧,工业用地,医药制造业,45.966260,挂牌出让,50,7724.0000,下限:1.20上限:0.00,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=66840c15-0a59-458a-adda-8eb71c97c037,2019-08-27 22:27:58
亳州市本级,安徽京皖医药科技有限公司,神农大道以东，鸿支沟以西，迎春路以南，海棠路以北,工业用地,医药制造业,7.291270,挂牌出让,50,1225.0000,下限:1.20上限:0.00,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a4c7be1f-3f6a-490f-a5e6-cb86e973ac6b,2019-08-27 22:28:00
亳州市本级,亳州建投房地产开发有限公司,合欢路以南，茴香路以北，古井大道以东，宋汤西路以西,工业用地,房地产业,17.618020,挂牌出让,50,2966.0000,下限:1.20上限:0.00,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=15855db0-5d9a-4c71-9a5a-c7f62e2f9536,2019-08-27 22:28:01
亳州市本级,亳州市浩然实业有限公司,古井大道以东，曹腾路以西，合欢路以北，槐花路以南,工业用地,医药制造业,1.435560,挂牌出让,50,242.0000,下限:1.20上限:0.00,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7fcfbc8d-bdba-427b-86d9-07000d347ddc,2019-08-27 22:28:03
亳州市本级,安徽得源药业有限公司,昭武路以西，崇文路以东，百合路以北，银杏路以南,工业用地,医药制造业,4.333330,挂牌出让,50,728.0000,下限:1.20上限:0.00,2017年10月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=68e0ad55-2aac-4eac-892b-ae95a40c9046,2019-08-27 22:28:05
亳州市本级,安徽久奇药业有限公司,药都大道南侧、杉杉服饰公司西侧,工业用地,医药制造业,3.317180,挂牌出让,50,558.0000,下限:1.20上限:0.00,2017年10月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=14a5cf30-9467-4653-9656-ed569a569944,2019-08-27 22:28:07
亳州市本级,亳州市誉奇金刚石有限公司,月季路北侧，105国道东侧，汇鹏针织南侧,工业用地,其它,3.333330,挂牌出让,50,560.0000,下限:1.20上限:0.00,2017年10月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e23f5582-f9b5-4b55-ab17-8bf4fbbfe14d,2019-08-27 22:28:08
亳州市本级,安徽多善堂药业有限公司,海棠路以北，迎春路以南，崇文路以西，文苑路以东,工业用地,医药制造业,1.600000,挂牌出让,50,269.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6bda49f0-94e2-45ee-9994-24c2dcf7e41e,2019-08-27 22:28:10
亳州市本级,安徽博雅生物科技有限公司,槐花路以南，合欢路以北，古井大道以东，曹腾路以西,工业用地,医药制造业,1.333330,挂牌出让,50,224.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=70512ff0-a853-4685-ad33-cdf07d9c6593,2019-08-27 22:28:12
亳州市本级,亳州亚欧生物科技有限公司,迎春路以南，海棠路以北，文苑路以东，崇文路以西,工业用地,医药制造业,2.666670,挂牌出让,50,448.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=86a464e6-9c8f-408f-a184-15ac8c082891,2019-08-27 22:28:14
亳州市本级,亳州市顺祥实业有限公司,望州路以东，宋汤西路以西，中宫路以南，槐花路以北,工业用地,医药制造业,6.846220,挂牌出让,50,1151.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cf4f08e4-ca8e-4dd0-870b-43072fe780b1,2019-08-27 22:28:15
亳州市本级,安徽宏泰药业有限公司,曹霸路以东，老君大道以西，海棠路以北，迎春路以南,工业用地,医药制造业,2.333330,挂牌出让,50,392.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=49a604b9-7820-4e21-818c-fe00dec4250d,2019-08-27 22:28:17
亳州市本级,安徽国芝堂中药饮片科技有限公司,百合路以南，酒城大道以北，文辉路以东，文苑路以西,工业用地,医药制造业,2.219780,挂牌出让,50,373.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a87b6289-7a70-4bc4-b856-89fe19ed4fb6,2019-08-27 22:28:19
亳州市本级,亳州市中泰中药材贸易有限公司,蔷薇路以南，窑鸿沟以北，曹霸路以东，老君大道以西,工业用地,医药制造业,2.666660,挂牌出让,50,448.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f0c0815c-e456-408d-8464-26eb2975055d,2019-08-27 22:28:20
亳州市本级,安徽纳百川药业有限公司,仙翁路东侧，月季路北侧,工业用地,医药制造业,3.533720,挂牌出让,50,594.0000,下限:1.20上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=174d9217-9cac-47a2-817e-09e03bfa65fa,2019-08-27 22:28:22
亳州市本级,亳州金亮花茶有限责任公司,曹腾路以东，望州路以西，槐花路以南，合欢路以北,工业用地,医药制造业,0.666670,挂牌出让,50,112.0000,下限:1.20上限:0.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=13302f30-a7a5-400c-9d21-5a4b6fb651cb,2019-08-27 22:28:24
亳州市本级,亳州市帏创药业有限责任公司,曹霸路以东，老君大道以西，海棠路以北，迎春路以南,工业用地,医药制造业,1.866670,挂牌出让,50,314.0000,下限:1.20上限:0.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d60bc764-ddb3-4369-be4a-550ec364ccb4,2019-08-27 22:28:27
亳州市本级,安徽汇兴生物科技有限公司,百合路以南，酒城大道以北，文辉路以东，文苑路以西,工业用地,医药制造业,2.200000,挂牌出让,50,370.0000,下限:1.20上限:0.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=efb193f8-b143-416f-bf7d-d53b32521d8c,2019-08-27 22:28:29
亳州市本级,亳州市李氏香料有限公司,曹腾路以东，望州路以西，槐花路以南，合欢路以北,工业用地,医药制造业,0.765470,挂牌出让,50,129.0000,下限:1.20上限:0.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fee11390-7fef-4028-b14d-e7d976c444f7,2019-08-27 22:28:32
亳州市本级,安徽丰茂源香料有限公司,曹腾路以东，望州路以西，槐花路以南，合欢路以北,工业用地,化学原料及化学制品制造业,0.666670,挂牌出让,50,112.0000,下限:1.20上限:0.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3bd8aabc-678d-413c-a187-9121cadd2c45,2019-08-27 22:28:33
亳州市本级,亳州市润东生物科技有限公司,蔷薇路以南，窑鸿沟以北，曹霸路以东，老君大道以西,工业用地,医药制造业,2.115750,挂牌出让,50,356.0000,下限:1.20上限:0.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8affc57f-0d10-4a48-b8c8-013ca644b15d,2019-08-27 22:28:36
亳州市本级,安徽鸿图生物科技有限公司,蔷薇路以南，窑鸿沟以北，曹霸路以东，老君大道以西,工业用地,医药制造业,2.000000,挂牌出让,50,336.0000,下限:1.20上限:0.00,2017年10月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c99d2140-088a-4184-9eb8-16fae9f5e298,2019-08-27 22:28:39
亳州市本级,安徽盛誉远国药有限公司,华佗大道以东，酒城大道以南，张河以西,工业用地,医药制造业,4.615500,挂牌出让,50,776.0000,下限:1.20上限:0.00,2017年10月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eeb403a0-02a6-4d90-8898-cede86710c18,2019-08-27 22:28:42
亳州市本级,安徽盛安堂药业有限公司,文苑路以西，文辉路以东，海棠路以北，迎春路以南,工业用地,医药制造业,2.113560,挂牌出让,50,356.0000,下限:1.20上限:0.00,2017年10月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=72e58a56-39ca-4d55-a13f-befc7ecfdc17,2019-08-27 22:28:45
亳州市本级,安徽医路康制药有限公司,崇文路以东，昭武路以西，酒城大道以北，百合路以南,工业用地,医药制造业,3.333330,挂牌出让,50,560.0000,下限:1.20上限:0.00,2017年10月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=36e6dca6-b41e-431d-85d0-03f7cb989de0,2019-08-27 22:28:48
亳州市本级,亳州新碧房地产开发有限公司,紫苑路北、杜仲路南、建安路东,其他普通商品住房用地,房地产业,12.696350,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,78000.0000,下限:1.00上限:2.00,2017年10月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8ff36551-6820-4cf7-9b89-99aff7993d0d,2019-08-27 22:28:51
亳州市本级,安徽君益康制药有限公司,崇文路以东，昭武路以西，酒城大道以北，百合路以南,工业用地,医药制造业,4.000000,挂牌出让,50,672.0000,下限:1.20上限:0.00,2017年10月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f15a55ff-d53e-4efb-bf3a-dbdb058d4584,2019-08-27 22:28:53
亳州市本级,亳州市创亿生物质燃料科技有限公司,105国道东侧，月季路北侧,工业用地,废弃资源和废旧材料回收加工业,2.000000,挂牌出让,50,336.0000,下限:1.20上限:0.00,2017年10月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7c41460e-b1b9-4e8b-baf8-98eceee0a1f2,2019-08-27 22:28:56
亳州市本级,安徽维叶药业有限公司,仙翁路西侧，茴香路南侧,工业用地,医药制造业,3.333340,挂牌出让,50,561.0000,下限:1.20上限:0.00,2017年09月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=79d089ba-9573-4c21-ab84-b34071cb21c2,2019-08-27 22:28:57
亳州市本级,亳州益源电力有限责任公司,药都大道南侧、庄周路西侧,工业用地,电气机械及器材制造业,2.302080,挂牌出让,50,387.0000,下限:1.20上限:0.00,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ef521d3f-04ab-40f7-978c-5c1fc8d98a71,2019-08-27 22:28:59
亳州市本级,亳州市庆丰余堂中药饮片有限责任公司,创业八路南侧、庄周路西侧,工业用地,医药制造业,1.666670,挂牌出让,50,280.0000,下限:1.20上限:0.00,2017年09月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8992c42e-4552-418f-b973-64711f221489,2019-08-27 22:29:01
亳州市本级,安徽物华天宝生物科技有限公司,创业九路北侧、庄周路西侧,工业用地,医药制造业,1.666670,挂牌出让,50,280.0000,下限:1.20上限:0.00,2017年09月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=16dcffe0-c5aa-42b1-bafd-3ca1c13e7576,2019-08-27 22:29:03
亳州市本级,安徽谯康堂制药有限公司,月季路南侧，漆园路东侧，亳芜大道北侧，汤王大道西侧,工业用地,医药制造业,27.367670,挂牌出让,50,4599.0000,下限:1.20上限:0.00,2017年09月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=03addf7d-524c-4435-8638-ed01e1ca46e2,2019-08-27 22:29:05
亳州市本级,安徽广印堂（亳州）制药有限公司,月季路南侧，药王路东侧，亳芜大道北侧，漆园路西侧,工业用地,医药制造业,22.816130,挂牌出让,50,3834.0000,下限:1.20上限:0.00,2017年09月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bc46b01b-abcb-43db-823a-7287ac981f21,2019-08-27 22:29:07
亳州市本级,安徽信德和药业有限公司,酒城大道以北，百合路以南，文苑路以东,工业用地,医药制造业,3.845310,挂牌出让,50,647.0000,下限:1.20上限:0.00,2017年09月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=47414229-011c-41ab-8953-af42216fcb7b,2019-08-27 22:29:09
亳州市本级,安徽臻鸿生物科技有限公司,曹腾路以东，望州路以西，合欢路以北，槐花路以南,工业用地,饮料制造业,0.666670,挂牌出让,50,112.0000,下限:1.20上限:0.00,2017年09月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5cc4d1ef-e4f8-44f4-b623-db7f133113ad,2019-08-27 22:29:11
亳州市本级,安徽八方保健食品有限公司,茴香路北、仙翁路路东,工业用地,食品制造业,2.303210,挂牌出让,50,388.0000,下限:1.20上限:0.00,2017年09月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c8f4960d-80cf-4f97-a41e-efbed5ec6b98,2019-08-27 22:29:12
亳州市本级,安徽东荣堂生物科技有限公司,望州路以西，规划曹腾路以东，合欢路以北，槐花路以南,工业用地,食品制造业,0.766710,挂牌出让,50,129.0000,下限:1.20上限:0.00,2017年09月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=45e6c12d-9d07-476a-a92a-d9ceb9a9cc6f,2019-08-27 22:29:14
亳州市本级,亳州大皖工坊置业有限责任公司,槐花路以南，合欢路以北，汤王大道以西，漆园路以东,工业用地,租赁业,32.306160,挂牌出让,50,5428.0000,下限:1.20上限:0.00,2017年09月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f5f64577-6417-40d6-b213-9e07f987ebdf,2019-08-27 22:29:16
亳州市本级,安徽省方润药业有限公司,迎春路以南，海棠路以北，文辉路以东,工业用地,医药制造业,4.666670,挂牌出让,50,785.0000,下限:1.20上限:0.00,2017年09月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d3a153d4-1204-4587-aae6-9c17e487f9db,2019-08-27 22:29:18
亳州市本级,亳州市利尔中药材饮片有限公司,华佗大道以西，庄周路以东，酒城大道以南，槐花路以北,工业用地,医药制造业,3.556200,挂牌出让,50,598.0000,下限:1.20上限:0.00,2017年09月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e26e1c2c-2755-4254-a38d-c214ded9eae5,2019-08-27 22:29:21
亳州市本级,安徽三福药业有限责任公司,银杏路以北，海棠路以南，崇文路以东，亳城河路以西,工业用地,医药制造业,2.035770,挂牌出让,50,342.0000,下限:1.20上限:0.00,2017年09月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a3bc47c1-3df9-46f4-ae0c-0d282d521e7f,2019-08-27 22:29:23
亳州市本级,安徽盛海堂中药饮片有限公司,柴胡路南侧、张良路西侧,工业用地,医药制造业,6.324970,挂牌出让,50,1063.0000,下限:1.20上限:0.00,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0f13cafe-9ddd-4616-bc2b-60adf75b20d0,2019-08-27 22:29:25
亳州市本级,安徽友方中药饮片有限公司,文辉路以东，文苑路以西，海棠路以北，迎春路以南,工业用地,医药制造业,2.000000,挂牌出让,50,336.0000,下限:1.20上限:0.00,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b4641803-15a7-40f2-ac72-7b947c467905,2019-08-27 22:29:28
